sample	segment_title	gene	key	gene_order	identity	sql_ratio
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002075|1	False	138832	100.0	1.0036363636363637
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002076|1	False	139659	100.0	1.0038461538461538
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002077|1	False	140569	100.0	0.9921465968586387
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002078|1	False	141816	100.0	1.0033112582781456
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002079|1	False	142740	100.0	1.0039370078740157
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002043|1	False	94007	94.5	0.8159203980099502
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002043|2	False	95531	94.7	0.15920398009950248
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002044|1	False	95815	95.3	1.0031152647975077
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002045|1	False	96896	94.6	0.20084566596194503
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002045|2	False	97196	95.9	0.7801268498942917
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002046|1	False	98313	97.3	0.7987616099071208
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002046|2	False	99135	91.8	0.15479876160990713
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002047|1	False	99324	100.0	0.1386861313868613
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002047|2	False	99588	96.2	0.6824817518248175
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002048|1	False	100203	95.9	0.5094736842105263
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002048|2	False	101049	97.9	0.30105263157894735
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002049|1	False	101674	96.3	1.0030864197530864
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002050|1	False	102650	96.0	1.0028409090909092
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002051|1	False	103721	95.5	0.9444444444444444
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002052|1	False	104699	95.7	0.17857142857142858
t7	t7 Segment_1 (Retained); 94007 bp to Scaffold Start; 99001 bp to Scaffold End	OG_002052|2	False	105038	97.1	0.7142857142857143
