#BGC Name	Clan Number	Family Number
JANBAA010000078.region001	495	4085
JANBAB010000024.region001	495	4085
JANBAC010000013.region001	495	4085
JANBAD010000080.region001	495	4085
JANBAE010000013.region001	495	4085
JANBAF010000028.region001	495	4085
JANBAG010000002.region001	495	4085
JANBAH010000075.region001	495	4085
JANBAI010000085.region001	495	4085
JANBAK010000004.region001	495	4085
JANBAL010000003.region001	495	4085
JANBAM010000022.region001	495	4085
JANBAN010000003.region001	495	4085
JANBAO010000001.region001	495	4085
JANBAP010000095.region001	495	4085
JANCNW010000019.region001	495	4085
JANCNX010000004.region001	495	4085
JANCNY010000025.region001	495	4085
JAOAMT010000005.region001	495	4085
JZDT01000826.1.region001	495	4085
LIZI01000073.1.region001	495	4085
LIZJ01000054.1.region001	495	4085
LLET01000075.1.region001	495	4085
LOAL01000025.1.region001	495	4085
LOAM01000125.1.region001	495	4085
LOAN01000046.1.region001	495	4085
LOAO01000044.1.region001	495	4085
ML734574.1.region001	495	4085
NKQP01000006.1.region002	495	4085
NKQQ01000033.1.region006	495	4085
NLCI01000078.1.region001	495	4085
NLCJ01000152.1.region001	495	4085
NLCK01000241.1.region001	495	4085
NLCL01000038.1.region001	495	4085
NLCM01000197.1.region006	495	4085
NLCN01000348.1.region001	495	4085
NPKL01000024.1.region001	495	4085
NWUG02000174.1.region001	495	4085
NWUH02000179.1.region001	495	4085
NWUI02000293.1.region001	495	4085
QQZZ01000094.1.region001	495	4085
RAWY01000114.1.region003	495	4085
RAWZ01000004.1.region001	495	4085
RAXA01000519.1.region001	495	4085
RAXB01000152.1.region001	495	4085
RAXC01000033.1.region001	495	4085
RAXD01000150.1.region002	495	4085
RAXE01000149.1.region003	495	4085
RAXF01000120.1.region001	495	4085
RAXG01000031.1.region001	495	4085
RAXH01000284.1.region001	495	4085
RAXI01000061.1.region001	495	4085
RAXJ01000047.1.region001	495	4085
RAXK01000060.1.region001	495	4085
RAXL01000060.1.region001	495	4085
RAXM01000013.1.region001	495	4085
RAXN01000224.1.region001	495	4085
RAXO01000526.1.region001	495	4085
RAXP01000005.1.region001	495	4085
RAXQ01000017.1.region001	495	4085
RAXR01000117.1.region001	495	4085
SESK01000013.1.region001	495	4085
SJEZ01000001.1.region001	495	4085
SJFA01000003.1.region006	495	4085
SJFD01000055.1.region001	495	4085
SJFG01000009.1.region005	495	4085
SJFH01000012.1.region009	495	4085
SJFI01000025.1.region004	495	4085
SJFJ01000019.1.region005	495	4085
SJFL01000020.1.region003	495	4085
SKBW01000026.1.region005	495	4085
SKBX01000019.1.region005	495	4085
SKBY01000008.1.region001	495	4085
SKBZ01000002.1.region006	495	4085
VYXI01000236.1.region001	495	4085
VYXJ01000294.1.region001	495	4085
VYXK01000035.1.region001	495	4085
VYXL01000601.1.region001	495	4085
BEXO01000044.1.region001	495	4580
JABVYR010000097.region001	495	4580
JABVYS010000337.region001	495	4580
JABVYT010000422.region001	495	4580
JABVYU010000303.region001	495	4580
JABVYV010000281.region001	495	4580
JABVYW010000279.region001	495	4580
JABVYX010000059.region001	495	4580
JABVYY010000116.region001	495	4580
JABVYZ010000344.region001	495	4580
JABVZA010000122.region001	495	4580
JABVZB010000112.region001	495	4580
JABVZC010000023.region001	495	4580
JABVZD010000009.region002	495	4580
JABVZE010000340.region001	495	4580
JABVZF010000377.region001	495	4580
JABVZG010000074.region001	495	4580
JABVZH010000110.region001	495	4580
JABVZI010000594.region001	495	4580
JABVZJ010000732.region001	495	4580
JABVZK010000999.region001	495	4580
JANAXE010000006.region003	495	4580
JANAYS010000006.region003	495	4580
JANAZN010000005.region003	495	4580
JANBAE010000004.region002	495	4580
JANBAL010000002.region001	495	4580
LIZI01000103.1.region001	495	4580
LLET01000084.1.region001	495	4580
LOAK01000441.1.region001	495	4580
LOAL01000214.1.region001	495	4580
LOAM01000664.1.region001	495	4580
LOAQ01003166.1.region001	495	4580
RAXO01000801.1.region001	495	4580
SESK01000440.1.region001	495	4580
BEXP01000355.1.region001	495	5117
BGC0001516	495	5117
BGC0002602	495	5117
CP082255.1.region008	495	5117
JABVYT010000130.region001	495	5117
JABVYY010000094.region001	495	5117
JALMFT010000017.region001	495	5117
JANAZQ010000003.region001	495	5117
BEXN01000186.1.region001	495	5626
BEXQ01000388.1.region002	495	5626
CP044618.1.region006	495	5626
CP051030.1.region006	495	5626
CP051070.1.region007	495	5626
CP059869.1.region006	495	5626
CP082257.1.region006	495	5626
JABVYS010000070.region001	495	5626
JABVYY010000072.region001	495	5626
JABVZB010000066.region001	495	5626
JABVZC010000013.region001	495	5626
JABVZF010000068.region001	495	5626
